basis w0	1.00000000	0.00000000	0.00000000	0.00000000	0.0256947569
basis w1	0.00000000	1.00000000	0.00000000	0.00000000	0.0258283694
basis w2	0.00000000	0.00000000	1.00000000	0.00000000	0.0289177330
basis w3	0.00000000	0.00000000	0.00000000	1.00000000	0.3137075866
(w0+w1)/sqrt2	0.70710678	0.70710678	0.00000000	0.00000000	0.0289125578
(w0-w1)/sqrt2	0.70710678	-0.70710678	0.00000000	0.00000000	0.0265425783
(w0+w2)/sqrt2	0.70710678	0.00000000	0.70710678	0.00000000	0.0278037432
(w0-w2)/sqrt2	0.70710678	0.00000000	-0.70710678	0.00000000	0.0285567301
(w0+w3)/sqrt2	0.70710678	0.00000000	0.00000000	0.70710678	0.0599472105
(w0-w3)/sqrt2	0.70710678	0.00000000	0.00000000	-0.70710678	0.0829453816
(w1+w2)/sqrt2	0.00000000	0.70710678	0.70710678	0.00000000	0.0277449461
(w1-w2)/sqrt2	0.00000000	0.70710678	-0.70710678	0.00000000	0.0285532852
(w1+w3)/sqrt2	0.00000000	0.70710678	0.00000000	0.70710678	0.0830618556
(w1-w3)/sqrt2	0.00000000	0.70710678	0.00000000	-0.70710678	0.0598475855
(w2+w3)/sqrt2	0.00000000	0.00000000	0.70710678	0.70710678	0.0725393023
(w2-w3)/sqrt2	0.00000000	0.00000000	0.70710678	-0.70710678	0.0725438108
rand0	0.22263553	0.53810437	0.30235851	0.75462337	0.0975375005
rand1	-0.18357429	-0.20344130	0.94254866	-0.19108673	0.0244857273
rand2	-0.77042440	0.39388900	-0.42296487	-0.26906956	0.0260354385
rand3	0.19888695	-0.26319704	0.77861841	-0.53378336	0.0164510947
rand4	0.32392479	-0.77158182	-0.14525195	-0.52785991	0.0316386659
rand5	-0.74033358	0.42682159	-0.42068801	-0.30455068	0.0258035250
rand6	-0.94569766	0.22815608	-0.02198627	-0.23047198	0.0172881159
rand7	0.18528035	0.96438537	0.18821767	0.01435816	0.0268571770
rand8	-0.45286911	0.27019874	-0.09979374	0.84376740	0.1534564006
rand9	-0.26651404	0.67212117	-0.20934491	0.65832978	0.0592625335
rand10	0.09017875	-0.54650022	-0.82123442	-0.13703765	0.0195345485
rand11	0.10214848	0.78657094	-0.23748060	-0.56078053	0.0188961538
rand12	-0.49831197	-0.10507143	0.65670624	0.55622126	0.0294965532
rand13	-0.24757335	0.79328407	-0.42369321	0.36040516	0.0216197192
rand14	0.31392670	0.12413076	-0.90234973	-0.26796742	0.0195743087
rand15	0.31287117	-0.71136655	0.39688352	-0.48841861	0.0233749233
rand16	-0.25601557	0.54113715	-0.57824687	-0.55430783	0.0396703237
rand17	0.02582838	-0.12818597	0.94558841	0.29793255	0.0250313764
rand18	-0.38425696	0.32252247	-0.85803007	-0.11004651	0.0284467244
rand19	-0.33104152	0.29803418	-0.83705827	0.31768002	0.0071724273
