theta swap mixed
1.412563 0.13203511 0.39759229
1.419849 0.13695520 0.39968345
1.427136 0.14193084 0.40181327
1.434422 0.14695949 0.40398195
1.441709 0.15203877 0.40618968
1.448995 0.15716647 0.40843664
1.456281 0.16234062 0.41072298
1.463568 0.16755958 0.41304888
1.470854 0.17282209 0.41541446
1.478141 0.17812739 0.41781988
1.485427 0.18347527 0.42026524
1.492714 0.18886590 0.42275066
1.500000 0.19429948 0.42527625
