starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.005
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.003320854        23         1    yes 2.0050
   1 del23    26  8.003320854        23         1    yes 2.0050
   3 near24   24  8.003320854        23         1    yes 2.0050
   4 del23    26  8.003320854        23         1    yes 2.0050
   6 near24   26  8.003320854        23         1    yes 2.0050
   7 del23    26  8.003320854        23         1    yes 2.0050
   5 random   26  8.778913930        18         1    yes 2.0050
   9 near24   25  8.003320854        23         1    yes 2.0050
  10 del23    24  8.003320854        23         1    yes 2.0050
   8 random   24  8.778381191        18         1    yes 2.0050
  12 near24   24  8.003320854        23         1    yes 2.0050
  13 del23    24  8.003320854        23         1    yes 2.0050
   2 random   26  8.778558567        18         1    yes 2.0050
  11 random   24  9.295050222        16         1    yes 2.0050
  15 near24   25  8.003320854        23         1    yes 2.0050
  16 del23    24  8.003320854        23         1    yes 2.0050
  18 near24   25  8.003320854        23         1    yes 2.0050
  19 del23    24  8.003320854        23         1    yes 2.0050
  14 random   26  8.778660403        18         1    yes 2.0050
  21 near24   24  8.003320854        23         1    yes 2.0050
  22 del23    26  8.003320854        23         1    yes 2.0050
  20 random   26  9.028250623        17         1    yes 2.0050
  24 near24   25  8.003320854        23         1    yes 2.0050
  17 random   24  9.028050298        17         1    yes 2.0050
  25 del23    26  8.003320854        23         1    yes 2.0050
  27 near24   26  8.003320854        23         1    yes 2.0050
  28 del23    24  8.003320854        23         1    yes 2.0050
  29 random   22  9.295924492        16         1    yes 2.0050
  30 near24   24  8.003320854        23         1    yes 2.0050
  31 del23    26  8.003320854        23         1    yes 2.0050
  26 random   25  9.026750613        17         1    yes 2.0050
  23 random   22  8.374247190        20         1    yes 2.0050
  33 near24   24  8.003320854        23         1    yes 2.0050
  34 del23    24  8.003320854        23         1    yes 2.0050
  36 near24   25  8.003320854        23         1    yes 2.0050
  35 random   22  9.572872674        15         1    yes 2.0050
  37 del23    26  8.003320854        23         1    yes 2.0050
  32 random   25  8.778480843        18         1    yes 2.0050
  39 near24   25  8.003320854        23         1    yes 2.0050
  40 del23    24  8.003320854        23         1    yes 2.0050
  42 near24   24  8.003320854        23         1    yes 2.0050
  43 del23    24  8.003320854        23         1    yes 2.0050
  41 random   25  9.295153402        16         1    yes 2.0050
  45 near24   24  8.003320854        23         1    yes 2.0050
  46 del23    24  8.003320854        23         1    yes 2.0050
  44 random   22  8.783832773         1        18     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  48 near24   26  8.003320854        23         1    yes 2.0050
  49 del23    25  8.003320854        23         1    yes 2.0050
  38 random   25  8.374243816        20         1    yes 2.0050
  51 near24   26  8.003320854        23         1    yes 2.0050
  52 del23    25  8.003320854        23         1    yes 2.0050
  50 random   26  8.779053692        18         1    yes 2.0050
  54 near24   24  8.003320854        23         1    yes 2.0050
  53 random   23  9.295298027        16         1    yes 2.0050
  55 del23    26  8.003320854        23         1    yes 2.0050
  57 near24   25  8.003320854        23         1    yes 2.0050
  58 del23    25  8.003320854        23         1    yes 2.0050
  47 random   26  9.292954656        16         1    yes 2.0050
  59 random   22  9.295924492        16         1    yes 2.0050
  56 random   24  9.292496286        16         1    yes 2.0050

feasible endpoints: 59 of 60
least volume overall: 8.003320854 (23 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.003320854 (23 contacts, 1 shell neighbours at 2.0050)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 331s
