starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.8
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.290133333        23         1    yes 2.8000
   3 near24   24  8.290133333        23         1    yes 2.8000
   1 del23    26  8.336606521        22         2    yes 2.4181 2.8000
   4 del23    26  8.336606521        22         2    yes 2.4181 2.8000
   6 near24   26  8.290133333        23         1    yes 2.8000
   7 del23    26  8.290133333        23         1    yes 2.8000
   8 random   24  9.023457414        18         1    yes 2.8000
   9 near24   25  8.336606521        22         2    yes 2.4181 2.8000
  10 del23    24  8.290133333        23         1    yes 2.8000
   2 random   26  8.777662236         5        15     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  12 near24   24  8.290133333        23         1    yes 2.8000
  13 del23    24  8.290133333        23         1    yes 2.8000
   5 random   26  8.774019125        19         1     no 2.8000
  15 near24   25  8.290133333        23         1    yes 2.8000
  14 random   26  8.779702415        19         1    yes 2.8000
  16 del23    24  8.336606521        22         2    yes 2.4181 2.8000
  11 random   24  9.568308800        16         1     no 2.8000
  19 del23    24  8.290133333        23         1    yes 2.8000
  18 near24   25  8.290133333        23         1    yes 2.8000
  21 near24   24  8.290133333        23         1    yes 2.8000
  17 random   24  9.023457414        18         1    yes 2.8000
  23 random   22  8.527112886        20         1    yes 2.8000
  24 near24   25  8.290133333        23         1    yes 2.8000
  25 del23    26  8.290133333        23         1    yes 2.8000
  26 random   25  9.057199651        18         1    yes 2.8000
  27 near24   26  8.290133333        23         1    yes 2.8000
  28 del23    24  8.290133333        23         1    yes 2.8000
  29 random   22  9.566650302        16         1    yes 2.8000
  30 near24   24  8.290133333        23         1    yes 2.8000
  20 random   26  8.774078145        12         8     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.8000
  31 del23    26  8.336606521        22         2    yes 2.4181 2.8000
  22 del23    26  8.370374439        21         1    yes 2.8000
  34 del23    24  8.290133333        23         1    yes 2.8000
  35 random   22  9.852685433        15         1     no 2.8000
  36 near24   25  8.290133333        23         1    yes 2.8000
  37 del23    26  8.290133333        23         1    yes 2.8000
  33 near24   24  8.283732535        22         1    yes 2.8000
  39 near24   25  8.290133333        23         1    yes 2.8000
  40 del23    24  8.290133333        23         1    yes 2.8000
  32 random   25  9.022070129        18         1     no 2.8000
  42 near24   24  8.290133333        23         1    yes 2.8000
  43 del23    24  8.290133333        23         1    yes 2.8000
  44 random   22  9.022065693        18         1    yes 2.8000
  38 random   25  8.525790461        10        11     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  46 del23    24  8.290133333        23         1    yes 2.8000
  45 near24   24  8.290133333        23         1    yes 2.8000
  48 near24   26  8.290133333        23         1    yes 2.8000
  49 del23    25  8.290133333        23         1    yes 2.8000
  41 random   25  9.566586734        16         1    yes 2.8000
  51 near24   26  8.290133333        23         1    yes 2.8000
  52 del23    25  8.290133333        23         1    yes 2.8000
  47 random   26  9.020670867        18         1    yes 2.8000
  54 near24   24  8.290133333        23         1    yes 2.8000
  55 del23    26  8.362334209        22         1    yes 2.8000
  50 random   26  8.773549471        19         1    yes 2.8000
  57 near24   25  8.290133333        23         1    yes 2.8000
  58 del23    25  8.290133333        23         1    yes 2.8000
  53 random   23  9.289584453        17         1    yes 2.8000
  59 random   22  9.564365911        16         1    yes 2.8000
  56 random   24  9.289691597         1        17     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00

feasible endpoints: 52 of 60
least volume overall: 8.283732535 (22 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.283732535 (22 contacts, 1 shell neighbours at 2.8000)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 579s
