starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.4
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.196800000        23         1    yes 2.4000
   1 del23    26  8.196800000        23         1    yes 2.4000
   3 near24   24  8.196800000        23         1    yes 2.4000
   4 del23    26  8.196800000        23         1    yes 2.4000
   6 near24   26  8.196800000        23         1    yes 2.4000
   7 del23    26  8.196800000        23         1    yes 2.4000
   2 random   26  9.242673588        17         1    yes 2.4000
   9 near24   25  8.196800000        23         1    yes 2.4000
  10 del23    24  8.196800000        23         1    yes 2.4000
  11 random   24  9.521832953        16         1    yes 2.4000
  12 near24   24  8.196800000        23         1    yes 2.4000
  13 del23    24  8.196800000        23         1    yes 2.4000
   8 random   24  8.991807657         0        19     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  15 near24   25  8.196800000        23         1    yes 2.4000
  16 del23    24  8.196800000        23         1    yes 2.4000
   5 random   26  8.753688810         0        20     no 2.0001 2.0001 2.0001 2.0001 2.0001 2.0001 2.0002 2.0003 2.00
  18 near24   25  8.196800000        23         1    yes 2.4000
  19 del23    24  8.196800000        23         1    yes 2.4000
  17 random   24  9.260452073        17         1    yes 2.4000
  21 near24   24  8.196800000        23         1    yes 2.4000
  20 random   26  8.984075236        18         1    yes 2.4000
  23 random   22  8.505388998        20         1    yes 2.4000
  24 near24   25  8.196800000        23         1    yes 2.4000
  25 del23    26  8.196800000        23         1    yes 2.4000
  14 random   26  8.997482691         0        19     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  27 near24   26  8.196800000        23         1    yes 2.4000
  28 del23    24  8.196800000        23         1    yes 2.4000
  29 random   22  9.522281494        16         1    yes 2.4000
  30 near24   24  8.196800000        23         1    yes 2.4000
  31 del23    26  8.196800000        23         1    yes 2.4000
  26 random   25  8.984075236        18         1    yes 2.4000
  33 near24   24  8.196800000        23         1    yes 2.4000
  34 del23    24  8.196800000        23         1    yes 2.4000
  32 random   25  8.987324638        18         1    yes 2.4000
  35 random   22  9.792791877        15         1    yes 2.4000
  36 near24   25  8.196800000        23         1    yes 2.4000
  37 del23    26  8.196800000        23         1    yes 2.4000
  39 near24   25  8.196800000        23         1    yes 2.4000
  40 del23    24  8.196800000        23         1    yes 2.4000
  22 del23    26  8.371640283        21         1    yes 2.4000
  42 near24   24  8.196800000        23         1    yes 2.4000
  43 del23    24  8.196800000        23         1    yes 2.4000
  38 random   25  8.505388998        20         1    yes 2.4000
  45 near24   24  8.196800000        23         1    yes 2.4000
  46 del23    24  8.196800000        23         1    yes 2.4000
  41 random   25  9.525800852        16         1    yes 2.4000
  48 near24   26  8.196800000        23         1    yes 2.4000
  49 del23    25  8.196800000        23         1    yes 2.4000
  47 random   26  8.986719148        18         1    yes 2.4000
  44 random   22  8.987019874         0        19     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  51 near24   26  8.196800000        23         1    yes 2.4000
  52 del23    25  8.196800000        23         1    yes 2.4000
  54 near24   24  8.196800000        23         1    yes 2.4000
  50 random   26  8.737047696        19         1    yes 2.4000
  53 random   23  9.527959983        16         1    yes 2.4000
  55 del23    26  8.196800000        23         1    yes 2.4000
  57 near24   25  8.196800000        23         1    yes 2.4000
  58 del23    25  8.196800000        23         1    yes 2.4000
  56 random   24  9.792791877        15         1    yes 2.4000
  59 random   22  9.247901297         0        18     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00

feasible endpoints: 55 of 60
least volume overall: 8.196800000 (23 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.196800000 (23 contacts, 1 shell neighbours at 2.4000)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 352s
