starts 240 (seed 1), kinds near24 / del23 / random in rotation
   # kind      n       volume  contacts     shell   feas shell distances
 145 del23    25  8.000000000        24         0    yes 
 143 random   25  9.022069047        18         0    yes 
 147 near24   24  8.000000000        24         0    yes 
 148 del23    25  8.000000000        24         0    yes 
 149 random   24  9.566885631        16         0    yes 
 146 random   24  9.022717557        18         0    yes 
 150 near24   26  8.000000000        24         0    yes 
 151 del23    24  8.000000000        24         0    yes 
 153 near24   26  8.000000000        24         0    yes 
 154 del23    25  8.000000000        24         0    yes 
 137 random   23  9.023203079         0        18    yes 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
 156 near24   25  8.000000000        24         0    yes 
 152 random   23  9.022717557        18         0    yes 
 157 del23    26  8.338022557        22         1    yes 2.4238
 155 random   26  8.526397054        20         0    yes 
 160 del23    26  8.000000000        24         0    yes 
 159 near24   26  8.000000000        24         0    yes 
 162 near24   24  8.000000000        24         0    yes 
 163 del23    26  8.000000000        24         0    yes 
 158 random   22  8.526397054        20         0    yes 
 161 random   24  8.774035109        19         0    yes 
 165 near24   26  8.000000000        24         0    yes 
 166 del23    25  8.000000000        24         0    yes 
 168 near24   26  8.000000000        24         0    yes 
 169 del23    26  8.000000000        24         0    yes 
 167 random   26  9.022069047        18         0    yes 
 171 near24   24  8.000000000        24         0    yes 
 172 del23    24  8.000000000        24         0    yes 
 170 random   25  8.526397054        20         0    yes 
 174 near24   24  8.000000000        24         0    yes 
 175 del23    24  8.000000000        24         0    yes 
 164 random   24  8.774212739         9        10    yes 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
 177 near24   24  8.000000000        24         0    yes 
 178 del23    26  8.336218986        22         1    yes 2.3986
 176 random   25  8.774035109        19         0    yes 
 180 near24   25  8.000000000        24         0    yes 
 179 random   24  9.057182350        18         0    yes 
 173 random   25  9.022717557        18         0    yes 
 183 near24   26  8.000000000        24         0    yes 
 184 del23    24  8.000000000        24         0    yes 
 181 del23    26  8.336218986        22         1    yes 2.3986
 186 near24   24  8.000000000        24         0    yes 
 187 del23    25  8.000000000        24         0    yes 
 182 random   26  9.022069047        18         0    yes 
 189 near24   26  8.000000000        24         0    yes 
 188 random   23  8.774035109        19         0    yes 
 190 del23    24  8.000000000        24         0    yes 
 192 near24   24  8.000000000        24         0    yes 
 193 del23    24  8.000000000        24         0    yes 
 185 random   25  8.526397054        20         0    yes 
 195 near24   24  8.000000000        24         0    yes 
 196 del23    24  8.000000000        24         0    yes 
 194 random   22  9.853030380        15         0    yes 
 198 near24   26  8.000000000        24         0    yes 
 191 random   24  9.297473265        17         0    yes 
 199 del23    26  8.338022557        22         1    yes 2.4238
 201 near24   25  8.000000000        24         0    yes 
 200 random   26  8.774035109        19         0    yes 
 202 del23    26  8.000000000        24         0    yes 
 204 near24   26  8.000000000        24         0    yes 
 205 del23    24  8.000000000        24         0    yes 
 197 random   25  9.022069047        18         0    yes 
 207 near24   24  8.000000000        24         0    yes 
 208 del23    24  8.000000000        24         0    yes 
 206 random   24  8.774035109        19         0    yes 
 210 near24   26  8.000000000        24         0    yes 
 211 del23    26  8.000000000        24         0    yes 
 209 random   22  9.022069047        18         0    yes 
 213 near24   26  8.000000000        24         0    yes 
 214 del23    25  8.000000000        24         0    yes 
 212 random   26  9.022069047        18         0    yes 
 216 near24   26  8.000000000        24         0    yes 
 217 del23    24  8.000000000        24         0    yes 
 215 random   25  9.022717557        18         0    yes 
 203 random   22  9.570107050         0        16    yes 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
 219 near24   25  8.000000000        24         0    yes 
 220 del23    26  8.000000000        24         0    yes 
 218 random   24  8.526397054        20         0    yes 
 223 del23    24  8.000000000        24         0    yes 
 221 random   24  8.526397054        20         0    yes 
 225 near24   24  8.000000000        24         0    yes 
 226 del23    25  8.000000000        24         0    yes 
 222 near24   25  8.368466687        21         1    yes 2.6147
 228 near24   24  8.000000000        24         0    yes 
 227 random   26  9.022717557        18         0    yes 
 229 del23    26  8.338022557        22         1    yes 2.4238
 231 near24   24  8.000000000        24         0    yes 
 232 del23    24  8.000000000        24         0    yes 
 230 random   23  9.289587477        17         0    yes 
 234 near24   24  8.000000000        24         0    yes 
 235 del23    26  8.000000000        24         0    yes 
 236 random   26  9.022717557        18         0    yes 
 237 near24   26  8.000000000        24         0    yes 
 238 del23    25  8.000000000        24         0    yes 
 224 random   24  8.370309826        21         0    yes 
 233 random   26  9.022717557        18         0    yes 
 239 random   24  9.022717557        18         0    yes 

feasible endpoints: 239 of 240
least volume overall: 8.000000000 (24 contacts, 0 shell neighbours)
least volume with a shell neighbour: 8.336218986 (22 contacts, 1 shell neighbours at 2.3986)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 578s
