starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.2
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.114633333        23         1    yes 2.2000
   3 near24   24  8.114633333        23         1    yes 2.2000
   1 del23    26  8.114633333        23         1    yes 2.2000
   4 del23    26  8.114633333        23         1    yes 2.2000
   6 near24   26  8.114633333        23         1    yes 2.2000
   7 del23    26  8.114633333        23         1    yes 2.2000
   5 random   26  8.906977393        18         1    yes 2.2000
   2 random   26  8.906977393        18         1    yes 2.2000
   9 near24   25  8.114633333        23         1    yes 2.2000
  10 del23    24  8.114633333        23         1    yes 2.2000
  12 near24   24  8.114633333        23         1    yes 2.2000
  13 del23    24  8.114633333        23         1    yes 2.2000
  11 random   24  9.709368860        15         1    yes 2.2000
  15 near24   25  8.114633333        23         1    yes 2.2000
  16 del23    24  8.114633333        23         1    yes 2.2000
   8 random   24  8.906977393        18         1    yes 2.2000
  18 near24   25  8.114633333        23         1    yes 2.2000
  19 del23    24  8.114633333        23         1    yes 2.2000
  17 random   24  9.177838143         3        15     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  21 near24   24  8.114633333        23         1    yes 2.2000
  20 random   26  8.906977393        18         1    yes 2.2000
  14 random   26  8.906977393        18         1    yes 2.2000
  24 near24   25  8.114633333        23         1    yes 2.2000
  25 del23    26  8.114633333        23         1    yes 2.2000
  23 random   22  8.493089728        20         1    yes 2.2000
  27 near24   26  8.114633333        23         1    yes 2.2000
  28 del23    24  8.114633333        23         1    yes 2.2000
  29 random   22  9.173685028        17         1    yes 2.2000
  30 near24   24  8.114633333        23         1    yes 2.2000
  31 del23    26  8.114633333        23         1    yes 2.2000
  32 random   25  9.173685028        17         1    yes 2.2000
  33 near24   24  8.114633333        23         1    yes 2.2000
  34 del23    24  8.114633333        23         1    yes 2.2000
  26 random   25  9.168280626         1        17     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  36 near24   25  8.114633333        23         1    yes 2.2000
  35 random   22  9.709368860        15         1    yes 2.2000
  37 del23    26  8.114633333        23         1    yes 2.2000
  22 del23    26  8.377745023        10        12     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  39 near24   25  8.114633333        23         1    yes 2.2000
  40 del23    24  8.114633333        23         1    yes 2.2000
  42 near24   24  8.114633333        23         1    yes 2.2000
  43 del23    24  8.114633333        23         1    yes 2.2000
  38 random   25  8.466039175        20         1    yes 2.2000
  45 near24   24  8.114633333        23         1    yes 2.2000
  46 del23    24  8.114633333        23         1    yes 2.2000
  44 random   22  8.906977393        18         1    yes 2.2000
  41 random   25  9.468232375        16         1    yes 2.2000
  48 near24   26  8.114633333        23         1    yes 2.2000
  49 del23    25  8.114633333        23         1    yes 2.2000
  51 near24   26  8.114633333        23         1    yes 2.2000
  52 del23    25  8.114633333        23         1    yes 2.2000
  50 random   26  8.906977393        18         1    yes 2.2000
  54 near24   24  8.114633333        23         1    yes 2.2000
  55 del23    26  8.114633333        23         1    yes 2.2000
  53 random   23  9.168722527        17         1     no 2.2000
  57 near24   25  8.114633333        23         1    yes 2.2000
  56 random   24  9.709368860        15         1    yes 2.2000
  58 del23    25  8.114633333        23         1    yes 2.2000
  59 random   22  9.434725785        16         1    yes 2.2000
  47 random   26  9.168282666        13         5     no 2.0000 2.0000 2.0000 2.0000 2.2000

feasible endpoints: 55 of 60
least volume overall: 8.114633333 (23 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.114633333 (23 contacts, 1 shell neighbours at 2.2000)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 390s
