starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.05
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.032104036        23         1    yes 2.0500
   1 del23    26  8.032104036        23         1    yes 2.0500
   3 near24   24  8.032104036        23         1    yes 2.0500
   4 del23    26  8.032104036        23         1    yes 2.0500
   6 near24   26  8.032104036        23         1    yes 2.0500
   7 del23    26  8.032104036        23         1    yes 2.0500
   5 random   26  8.820771005        18         1    yes 2.0500
   9 near24   25  8.032104036        23         1    yes 2.0500
  10 del23    24  8.032104036        23         1    yes 2.0500
   8 random   24  8.821957847        18         1    yes 2.0500
  12 near24   24  8.032104036        23         1    yes 2.0500
  13 del23    24  8.032104036        23         1    yes 2.0500
  11 random   24  9.609081774        15         1    yes 2.0500
  15 near24   25  8.032104036        23         1    yes 2.0500
  16 del23    24  8.032104036        23         1    yes 2.0500
   2 random   26  8.814907868         0        19     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  18 near24   25  8.032104036        23         1    yes 2.0500
  19 del23    24  8.032104036        23         1    yes 2.0500
  17 random   24  9.066565844         0        18     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  21 near24   24  8.032104036        23         1    yes 2.0500
  22 del23    26  8.032104036        23         1    yes 2.0500
  14 random   26  8.815664889        18         1     no 2.0500
  24 near24   25  8.032104036        23         1    yes 2.0500
  25 del23    26  8.032104036        23         1    yes 2.0500
  23 random   22  8.566856193        19         1    yes 2.0500
  20 random   26  9.066793694        17         1    yes 2.0500
  27 near24   26  8.032104036        23         1    yes 2.0500
  28 del23    24  8.032104036        23         1    yes 2.0500
  30 near24   24  8.032104036        23         1    yes 2.0500
  31 del23    26  8.032104036        23         1    yes 2.0500
  29 random   22  9.350792158        16         1    yes 2.0500
  33 near24   24  8.032104036        23         1    yes 2.0500
  34 del23    24  8.032104036        23         1    yes 2.0500
  26 random   25  9.066868456        17         1    yes 2.0500
  35 random   22  9.624421004        15         1    yes 2.0500
  36 near24   25  8.032104036        23         1    yes 2.0500
  37 del23    26  8.032104036        23         1    yes 2.0500
  39 near24   25  8.032104036        23         1    yes 2.0500
  40 del23    24  8.032104036        23         1    yes 2.0500
  32 random   25  8.816542734         1        18     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  42 near24   24  8.032104036        23         1    yes 2.0500
  43 del23    24  8.032104036        23         1    yes 2.0500
  38 random   25  8.401216636         1        20     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  45 near24   24  8.032104036        23         1    yes 2.0500
  41 random   25  9.339944892        16         1    yes 2.0500
  46 del23    24  8.032104036        23         1    yes 2.0500
  48 near24   26  8.032104036        23         1    yes 2.0500
  49 del23    25  8.032104036        23         1    yes 2.0500
  44 random   22  8.816303636         7        12     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  51 near24   26  8.032104036        23         1    yes 2.0500
  52 del23    25  8.032104036        23         1    yes 2.0500
  53 random   23  9.344334612        16         1    yes 2.0500
  54 near24   24  8.032104036        23         1    yes 2.0500
  47 random   26  9.342941084        16         1    yes 2.0500
  55 del23    26  8.032104036        23         1    yes 2.0500
  50 random   26  8.821957847        18         1    yes 2.0500
  57 near24   25  8.032104036        23         1    yes 2.0500
  58 del23    25  8.032104036        23         1    yes 2.0500
  59 random   22  9.336711683        16         1    yes 2.0500
  56 random   24  9.340099260         0        17     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00

feasible endpoints: 53 of 60
least volume overall: 8.032104036 (23 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.032104036 (23 contacts, 1 shell neighbours at 2.0500)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 409s
