starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.001
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.000666167        23         1    yes 2.0010
   1 del23    26  8.000666167        23         1    yes 2.0010
   3 near24   24  8.000666167        23         1    yes 2.0010
   4 del23    26  8.000666167        23         1    yes 2.0010
   6 near24   26  8.000666167        23         1    yes 2.0010
   7 del23    26  8.000666167        23         1    yes 2.0010
   8 random   24  8.774908841        18         1    yes 2.0010
   9 near24   25  8.000666167        23         1    yes 2.0010
   5 random   26  8.775014547        18         1    yes 2.0010
  10 del23    24  8.000666167        23         1    yes 2.0010
  12 near24   24  8.000666167        23         1    yes 2.0010
  13 del23    24  8.000666167        23         1    yes 2.0010
  11 random   24  9.290684033        16         1    yes 2.0010
   2 random   26  8.774943646        18         1    yes 2.0010
  15 near24   25  8.000666167        23         1    yes 2.0010
  16 del23    24  8.000666167        23         1    yes 2.0010
  18 near24   25  8.000666167        23         1    yes 2.0010
  19 del23    24  8.000666167        23         1    yes 2.0010
  14 random   26  8.774963772        18         1    yes 2.0010
  21 near24   24  8.000666167        23         1    yes 2.0010
  22 del23    26  8.000666167        23         1    yes 2.0010
  20 random   26  9.023828329        17         1    yes 2.0010
  24 near24   25  8.000666167        23         1    yes 2.0010
  25 del23    26  8.000666167        23         1    yes 2.0010
  17 random   24  9.030232931         0        18     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  27 near24   26  8.000666167        23         1    yes 2.0010
  28 del23    24  8.000666167        23         1    yes 2.0010
  29 random   22  9.290858629        16         1    yes 2.0010
  23 random   22  8.371104114        20         1    yes 2.0010
  30 near24   24  8.000666167        23         1    yes 2.0010
  31 del23    26  8.000666167        23         1    yes 2.0010
  26 random   25  9.023009443        17         1    yes 2.0010
  34 del23    24  8.000666167        23         1    yes 2.0010
  33 near24   24  8.000666167        23         1    yes 2.0010
  36 near24   25  8.000666167        23         1    yes 2.0010
  35 random   22  9.568087187        15         1    yes 2.0010
  37 del23    26  8.000666167        23         1    yes 2.0010
  39 near24   25  8.000666167        23         1    yes 2.0010
  40 del23    24  8.000666167        23         1    yes 2.0010
  32 random   25  8.774928158        18         1    yes 2.0010
  42 near24   24  8.000666167        23         1    yes 2.0010
  43 del23    24  8.000666167        23         1    yes 2.0010
  44 random   22  8.774963772        18         1    yes 2.0010
  45 near24   24  8.000666167        23         1    yes 2.0010
  46 del23    24  8.000666167        23         1    yes 2.0010
  41 random   25  9.290704641        16         1    yes 2.0010
  48 near24   26  8.000666167        23         1    yes 2.0010
  49 del23    25  8.000666167        23         1    yes 2.0010
  50 random   26  8.775042797        18         1    yes 2.0010
  51 near24   26  8.000666167        23         1    yes 2.0010
  52 del23    25  8.000666167        23         1    yes 2.0010
  53 random   23  9.290733740        16         1    yes 2.0010
  47 random   26  9.288221828        16         1    yes 2.0010
  54 near24   24  8.000666167        23         1    yes 2.0010
  55 del23    26  8.000666167        23         1    yes 2.0010
  57 near24   25  8.000666167        23         1    yes 2.0010
  58 del23    25  8.000666167        23         1    yes 2.0010
  38 random   25  8.371130456        20         1    yes 2.0010
  59 random   22  9.290858629        16         1    yes 2.0010
  56 random   24  9.288127237        16         1    yes 2.0010

feasible endpoints: 59 of 60
least volume overall: 8.000666167 (23 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.000666167 (23 contacts, 1 shell neighbours at 2.0010)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 329s
