starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.02
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.013134663        23         1    yes 2.0200
   1 del23    26  8.013134663        23         1    yes 2.0200
   3 near24   24  8.013134663        23         1    yes 2.0200
   4 del23    26  8.013134663        23         1    yes 2.0200
   6 near24   26  8.013134663        23         1    yes 2.0200
   7 del23    26  8.013134663        23         1    yes 2.0200
   5 random   26  8.793276276        18         1    yes 2.0200
   9 near24   25  8.013134663        23         1    yes 2.0200
  10 del23    24  8.013134663        23         1    yes 2.0200
  11 random   24  9.311058828        16         1    yes 2.0200
  12 near24   24  8.013134663        23         1    yes 2.0200
  13 del23    24  8.013134663        23         1    yes 2.0200
  14 random   26  8.792265034        18         1    yes 2.0200
   8 random   24  8.790378486        18         1     no 2.0200
  16 del23    24  8.013134663        23         1    yes 2.0200
  15 near24   25  8.013134663        23         1    yes 2.0200
  18 near24   25  8.013134663        23         1    yes 2.0200
  19 del23    24  8.013134663        23         1    yes 2.0200
   2 random   26  8.791284750         4        15     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  21 near24   24  8.013134663        23         1    yes 2.0200
  22 del23    26  8.013134663        23         1    yes 2.0200
  17 random   24  9.040275413        17         1    yes 2.0200
  24 near24   25  8.013134663        23         1    yes 2.0200
  25 del23    26  8.013134663        23         1    yes 2.0200
  23 random   22  8.385557356        20         1     no 2.0200
  20 random   26  9.040889241        17         1    yes 2.0200
  27 near24   26  8.013134663        23         1    yes 2.0200
  28 del23    24  8.013134663        23         1    yes 2.0200
  30 near24   24  8.013134663        23         1    yes 2.0200
  29 random   22  9.314652196        16         1    yes 2.0200
  31 del23    26  8.013134663        23         1    yes 2.0200
  26 random   25  9.040906650        17         1    yes 2.0200
  33 near24   24  8.013134663        23         1    yes 2.0200
  34 del23    24  8.013134663        23         1    yes 2.0200
  36 near24   25  8.013134663        23         1    yes 2.0200
  35 random   22  9.590522617        15         1    yes 2.0200
  37 del23    26  8.013134663        23         1    yes 2.0200
  39 near24   25  8.013134663        23         1    yes 2.0200
  40 del23    24  8.013134663        23         1    yes 2.0200
  32 random   25  8.791523926        18         1    yes 2.0200
  42 near24   24  8.013134663        23         1    yes 2.0200
  43 del23    24  8.013134663        23         1    yes 2.0200
  44 random   22  8.791840778        18         1    yes 2.0200
  45 near24   24  8.013134663        23         1    yes 2.0200
  41 random   25  9.311422677        16         1    yes 2.0200
  46 del23    24  8.013134663        23         1    yes 2.0200
  48 near24   26  8.013134663        23         1    yes 2.0200
  49 del23    25  8.013134663        23         1    yes 2.0200
  47 random   26  9.310217261        16         1    yes 2.0200
  51 near24   26  8.013134663        23         1    yes 2.0200
  50 random   26  8.793769143        18         1    yes 2.0200
  52 del23    25  8.013134663        23         1    yes 2.0200
  54 near24   24  8.013134663        23         1    yes 2.0200
  55 del23    26  8.013134663        23         1    yes 2.0200
  53 random   23  9.312117605        16         1    yes 2.0200
  57 near24   25  8.013134663        23         1    yes 2.0200
  58 del23    25  8.013134663        23         1    yes 2.0200
  38 random   25  8.385632041        20         1     no 2.0200
  59 random   22  9.314652196        16         1    yes 2.0200
  56 random   24  9.308588562        16         1    yes 2.0200

feasible endpoints: 56 of 60
least volume overall: 8.013134663 (23 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.013134663 (23 contacts, 1 shell neighbours at 2.0200)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 344s
